Index,Variant,"Major area, region, country or area",Notes,Country code,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
21,Estimates,Réunion,,638,248.111,259.293,268.485,276.526,284.084,291.658,299.572,307.978,316.881,326.164,335.691,345.407,355.428,366.081,377.793,390.77,405.29,420.996,436.688,450.741,462.025,470.12,475.472,478.911,481.689,484.776,488.351,492.292,496.909,502.5,509.259,517.42,526.945,537.399,548.137,558.7,568.915,578.928,588.979,599.444,610.582,622.432,634.841,647.647,660.611,673.542,686.403,699.193,711.808,724.133,736.091,747.616,758.726,769.545,780.254,790.983,801.769,812.568,823.345,834.032,844.579
22,Estimates,Rwanda,,646,2186.187,2250.675,2313.306,2378.442,2448.814,2525.524,2607.945,2693.819,2779.55,2860.694,2933.424,2996.091,3050.596,3102.968,3161.719,3232.937,3319.077,3418.313,3527.26,3640.591,3754.546,3868.33,3983.659,4102.262,4226.773,4359.166,4499.767,4648.096,4804.354,4968.6,5140.786,5313.633,5485.328,5666.907,5873.794,6112.554,6405.995,6740.876,7045.785,7223.798,7214.696,6973.664,6545.1,6066.268,5728.464,5663.838,5929.575,6470.628,7169.658,7853.015,8395.577,8760.003,8987.523,9126.167,9254.379,9429.457,9660.946,9928.143,10222.961,10529.668,10836.732
23,Estimates,Seychelles,,690,36.322,36.891,37.443,37.959,38.428,38.856,39.261,39.673,40.133,40.688,41.377,42.222,43.215,44.309,45.439,46.555,47.638,48.705,49.786,50.929,52.164,53.495,54.897,56.347,57.81,59.256,60.676,62.063,63.382,64.598,65.679,66.633,67.465,68.148,68.657,68.982,69.092,69.028,68.943,69.045,69.474,70.307,71.489,72.873,74.239,75.433,76.391,77.173,77.891,78.72,79.774,81.093,82.611,84.218,85.751,87.094,88.21,89.134,89.902,90.577,91.208
24,Estimates,Somalia,,706,2264.081,2307.576,2351.811,2397.067,2443.576,2491.53,2541.067,2592.278,2645.219,2699.912,2756.38,2814.683,2874.944,2937.36,3002.173,3069.558,3144.244,3227.245,3311.111,3385.414,3445.42,3477.568,3490.295,3526.527,3644.572,3880.955,4259.636,4754.149,5289.049,5758.961,6089.707,6251.73,6271.538,6199.671,6113.252,6068.425,6082.723,6138.907,6217.331,6285.456,6321.615,6319.531,6294.017,6269.244,6278.911,6346.44,6481.035,6673.254,6904.978,7149.044,7385.416,7609.265,7825.924,8037.706,8249.965,8466.938,8687.671,8910.851,9140.259,9380.854,9636.173
25,Estimates,South Sudan,,728,2582.929,2601.295,2624.547,2652.403,2684.592,2720.852,2760.936,2804.608,2851.646,2901.848,2955.044,3011.113,3069.994,3131.693,3196.264,3263.767,3334.241,3407.723,3484.292,3564.043,3647.097,3733.619,3823.781,3917.741,4015.666,4117.767,4222.557,4329.97,4443.163,4566.435,4701.961,4850.393,5007.897,5166.491,5315.479,5446.452,5562.024,5663.186,5738.763,5774.68,5764.216,5698.383,5588.959,5475.424,5411.318,5434.266,5561.12,5779.278,6060.6,6362.201,6652.984,6924.455,7186.82,7449.905,7730.18,8039.351,8376.893,8736.736,9118.386,9520.571,9940.929
26,Estimates,Uganda,,800,5158.193,5308.672,5455.539,5601.242,5748.208,5898.834,6055.517,6220.628,6396.454,6585.103,6788.211,7006.629,7240.155,7487.412,7746.181,8014.376,8292.751,8580.647,8872.89,9162.794,9446.024,9720.388,9988.441,10256.553,10533.82,10827.097,11139.632,11470.628,11818.135,12178.512,12549.779,12930.714,13324.39,13738.114,14181.63,14661.481,15180.721,15736.176,16320.417,16922.648,17534.839,18156.095,18788.44,19430.461,20081.152,20740.726,21407.693,22084.527,22780.451,23507.8,24275.641,25088.033,25943.441,26838.428,27766.986,28724.869,29711.397,30728.747,31778.799,32864.328,33987.213
27,Estimates,United Republic of Tanzania,2,834,7649.766,7847.33,8055.934,8274.754,8503.215,8740.984,8987.984,9244.381,9510.559,9787.067,10074.49,10373.284,10683.653,11005.491,11338.544,11682.873,12038.204,12405.366,12786.833,13185.844,13604.627,14044.585,14504.939,14983.047,15475.026,15978.207,16491.793,17017.107,17556.181,18111.999,18686.808,19282.215,19898.033,20532.688,21183.696,21849.853,22527.517,23218.477,23933.171,24685.791,25484.814,26337.403,27236.099,28157.055,29067.333,29944.302,30780.453,31586.039,32378.333,33183.093,34020.512,34895.398,35806.497,36760.831,37765.139,38824.384,39942.347,41119.693,42353.79,43639.752,44973.33
28,Estimates,Zambia,,894,2372.431,2429.047,2489.077,2552.245,2618.389,2687.46,2759.527,2834.771,2913.472,2995.977,3082.627,3173.662,3269.151,3368.961,3472.843,3580.708,3692.409,3808.277,3929.254,4056.584,4191.114,4333.234,4482.567,4638.227,4798.913,4963.655,5131.916,5303.836,5479.897,5660.893,5847.241,6038.971,6235.352,6435.11,6636.56,6838.392,7040.796,7243.918,7446.478,7646.911,7844.516,8038.236,8229.48,8423.058,8625.477,8841.338,9073.311,9320.089,9577.483,9839.179,10100.981,10362.137,10625.423,10894.519,11174.65,11470.022,11781.612,12109.62,12456.527,12825.031,13216.985
29,Estimates,Zimbabwe,,716,2746.854,2830.449,2918.426,3010.187,3105.349,3203.737,3305.404,3410.613,3519.806,3633.555,3752.39,3876.638,4006.261,4140.802,4279.559,4422.129,4568.317,4718.609,4874.109,5036.316,5206.305,5385.328,5573.282,5768.337,5967.819,6170.266,6373.946,6580.696,6796.863,7031.084,7289.069,7572.129,7876.786,8197.858,8527.836,8860.331,9193.889,9527.192,9854.098,10167.392,10461.782,10733.048,10981.267,11210.802,11428.655,11639.364,11846.11,12045.813,12229.5,12384.727,12503.652,12586.763,12640.922,12673.103,12693.047,12710.589,12724.308,12740.16,12784.041,12888.918,13076.978
30,Estimates,Middle Africa,,911,26193.197,26665.932,27154.812,27663.051,28193.276,28747.525,29327.216,29933.189,30565.762,31224.872,31910.472,32622.933,33363.41,34134.005,34937.32,35775.152,36649.786,37560.963,38504.959,39476.364,40471.988,41490.916,42536.645,43615.877,44737.736,45909.257,47133.615,48410.696,49740.279,51120.912,52551.924,54038.626,55584.237,57183.913,58830.448,60521.497,62242.625,64001.623,65843.948,67831.052,70000.424,72384.368,74953.528,77609.258,80214.596,82676.414,84953.097,87088.353,89178.922,91365.719,93750.692,96365.04,99177.673,102152.79,105230.405,108366.018,111553.991,114808.959,118129.835,121518.835,124977.662
