Index,"Major area, region, country or area",Notes,code,Alpha-code,Location Type Code,Location Type Name,Region Code,Region Name,Major Area Code,Major Area Name,More Developed Regions,Less Developed Regions,Least developed countries,"Less developed regions, excluding least developed countries",HIV/AIDS mortality modelling in WPP 2012 revision,Prevalence rate (%) ,< 1%,1-5%,5-10%,10-20%,> 20%,Max(HIV),Year for max(HIV),Lag = 2011-year(maxHIV),UNAIDS 2010 revision,UNAIDS 2012 revision,Difference (%) base=2010 revision,"Countries or areas with a population of less than 90,000 by end-2013"
62,Guinea-Bissau,,624,GNB,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,No,1.44,No,Yes,No,No,No,1.55,2003,8,2.5,1.39,-44.4,No
63,Liberia,,430,LBR,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,Yes,1.25,No,Yes,No,No,No,2.51,2000,11,1.5,0.98489,-34.34066667,No
64,Mali,,466,MLI,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,No,1.17,No,Yes,No,No,No,1.71,1998,13,1,1.1,10,No
65,Mauritania,,478,MRT,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,No,0.97184,Yes,No,No,No,No,1.14,2011,0,0.7,1.14,62.85714286,No
66,Niger,,562,NER,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,No,0.82865,Yes,No,No,No,No,0.85439,2004,7,0.8,0.80903,1.12875,No
67,Nigeria,,566,NGA,4,Country/Area,914,Western Africa,903,Africa,No,Yes,No,Yes,Yes,3.64,No,Yes,No,No,No,3.76,2002,9,3.6,3.69,2.5,No
68,Saint Helena,3,654,SHN,4,Country/Area,914,Western Africa,903,Africa,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,Yes
69,Senegal,,686,SEN,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,No,0.67105,Yes,No,No,No,No,0.72703,2011,0,0.9,0.72703,-19.21888889,No
70,Sierra Leone,,694,SLE,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,No,1.56,No,Yes,No,No,No,1.56,2008,3,1.6,1.55,-3.125,No
71,Togo,,768,TGO,4,Country/Area,914,Western Africa,903,Africa,No,Yes,Yes,No,Yes,3.63,No,Yes,No,No,No,4.17,2003,8,3.2,3.41,6.5625,No
72,ASIA,,935,,2,Major Area,935,Asia,900,World,,,,,,,,,,,,,,,,,,
73,Eastern Asia,,906,,3,Region,906,Eastern Asia,935,Asia,,,,,,,,,,,,,,,,,,
74,China,4,156,CHN,4,Country/Area,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,0.08231,Yes,No,No,No,No,0.08709,2011,0,0.1,0.08709,-12.91,No
75,"China, Hong Kong SAR",5,344,HKG,4,Country/Area,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
76,"China, Macao SAR",6,446,MAC,4,Country/Area,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
77,Dem. People's Republic of Korea,,408,PRK,4,Country/Area,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,…,<0.1,…,No
78,Japan,,392,JPN,4,Country/Area,906,Eastern Asia,935,Asia,Yes,No,No,No,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
79,Mongolia,,496,MNG,4,Country/Area,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
80,Republic of Korea,,410,KOR,4,Country/Area,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,<0.1,Yes,No,No,No,No,<0.1,2011,0,<0.1,<0.1,…,No
81,Other non-specified areas,,158,TWN,4,Country/Area,906,Eastern Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
82,South-Central Asia,7,921,,3,Region,921,South-Central Asia,935,Asia,,,,,,,,,,,,,,,,,,
83,Central Asia,,5500,,3,Region,921,South-Central Asia,935,Asia,,,,,,,,,,,,,,,,,,
84,Kazakhstan,,398,KAZ,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,0.15449,Yes,No,No,No,No,0.17812,2011,0,0.1,0.17812,78.12,No
85,Kyrgyzstan,,417,KGZ,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,0.23918,Yes,No,No,No,No,0.38192,2011,0,0.3,0.38192,27.30666667,No
86,Tajikistan,,762,TJK,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,0.23735,Yes,No,No,No,No,0.26047,2011,0,0.2,0.26047,30.235,No
87,Turkmenistan,,795,TKM,4,Country/Area,921,South-Central Asia,935,Asia,No,Yes,No,Yes,No,…,…,…,…,…,…,…,…,…,…,…,…,No
